tournaments.RoundRobinTournament
AIs
	lightari
	AgentP(AStarPathFinding)
	mayari
	WorkerRush(AStarPathFinding)
	CoacAI(AStarPathFinding)
	RandomAI
maps
	/home/nickadkins47/CS4900/CS4900-PA3/maps/16x16/basesWorkers16x16A.xml
iterations	100
maxGameLength	3000
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	1000	1000
preAnalysis	true
fullObservability	true
timeoutCheck	true
runGC	false
iteration	map	ai1	ai2	time	winner	crashed	timedout
6	0	4	2	1002	0	-1	-1
6	0	4	3	525	1	-1	-1
6	0	4	5	745	0	-1	-1
6	0	5	0	908	1	-1	-1
6	0	5	1	565	1	-1	-1
6	0	5	2	925	1	-1	-1
6	0	5	3	530	1	-1	-1
6	0	5	4	830	1	-1	-1
7	0	0	1	825	1	-1	-1
7	0	0	2	1815	1	-1	-1
7	0	0	3	440	1	-1	-1
7	0	0	4	1671	1	-1	-1
7	0	0	5	785	0	-1	-1
7	0	1	0	590	0	-1	-1
7	0	1	2	975	0	-1	-1
7	0	1	3	1445	1	-1	-1
7	0	1	4	2168	1	-1	-1
7	0	1	5	635	0	-1	-1
7	0	2	0	1328	0	-1	-1
7	0	2	1	1070	0	-1	-1
7	0	2	3	1040	0	-1	-1
7	0	2	4	906	1	-1	-1
7	0	2	5	775	0	-1	-1
7	0	3	0	395	0	-1	-1
7	0	3	1	3000	-1	-1	-1
7	0	3	2	1145	1	-1	-1
7	0	3	4	860	1	-1	-1
7	0	3	5	455	0	-1	-1
7	0	4	0	895	0	-1	-1
7	0	4	1	1745	0	-1	-1
7	0	4	2	985	0	-1	-1
7	0	4	3	525	1	-1	-1
7	0	4	5	790	0	-1	-1
7	0	5	0	916	1	-1	-1
7	0	5	1	600	1	-1	-1
7	0	5	2	818	1	-1	-1
7	0	5	3	485	1	-1	-1
7	0	5	4	895	1	-1	-1
8	0	0	1	928	1	-1	-1
8	0	0	2	1961	1	-1	-1
8	0	0	3	385	1	-1	-1
8	0	0	4	1691	1	-1	-1
8	0	0	5	762	0	-1	-1
8	0	1	0	540	0	-1	-1
8	0	1	2	755	0	-1	-1
8	0	1	3	1445	1	-1	-1
8	0	1	4	2168	1	-1	-1
8	0	1	5	615	0	-1	-1
8	0	2	0	1316	0	-1	-1
8	0	2	1	1135	0	-1	-1
8	0	2	3	910	0	-1	-1
8	0	2	4	906	1	-1	-1
8	0	2	5	845	0	-1	-1
8	0	3	0	375	0	-1	-1
8	0	3	1	3000	-1	-1	-1
8	0	3	2	965	1	-1	-1
8	0	3	4	860	1	-1	-1
8	0	3	5	495	0	-1	-1
8	0	4	0	885	0	-1	-1
8	0	4	1	1769	0	-1	-1
8	0	4	2	1002	0	-1	-1
8	0	4	3	525	1	-1	-1
8	0	4	5	852	0	-1	-1
8	0	5	0	1000	1	-1	-1
8	0	5	1	715	1	-1	-1
8	0	5	2	692	1	-1	-1
8	0	5	3	395	1	-1	-1
8	0	5	4	805	1	-1	-1
9	0	0	1	990	1	-1	-1
9	0	0	2	1815	1	-1	-1
9	0	0	3	380	1	-1	-1
9	0	0	4	1691	1	-1	-1
9	0	0	5	931	0	-1	-1
9	0	1	0	585	0	-1	-1
9	0	1	2	935	0	-1	-1
9	0	1	3	1445	1	-1	-1
9	0	1	4	2920	1	-1	-1
9	0	1	5	665	0	-1	-1
9	0	2	0	1340	0	-1	-1
9	0	2	1	2009	0	-1	-1
9	0	2	3	1065	0	-1	-1
9	0	2	4	906	1	-1	-1
9	0	2	5	849	0	-1	-1
9	0	3	0	385	0	-1	-1
9	0	3	1	3000	-1	-1	-1
9	0	3	2	1123	1	-1	-1
9	0	3	4	860	1	-1	-1
9	0	3	5	435	0	-1	-1
9	0	4	0	885	0	-1	-1
9	0	4	1	1769	0	-1	-1
9	0	4	2	992	0	-1	-1
9	0	4	3	525	1	-1	-1
9	0	4	5	805	0	-1	-1
9	0	5	0	916	1	-1	-1
9	0	5	1	695	1	-1	-1
9	0	5	2	775	1	-1	-1
9	0	5	3	605	1	-1	-1
9	0	5	4	875	1	-1	-1
10	0	0	1	910	1	-1	-1
10	0	0	2	1905	1	-1	-1
10	0	0	3	415	1	-1	-1
10	0	0	4	1726	1	-1	-1
10	0	0	5	878	0	-1	-1
10	0	1	0	630	0	-1	-1
10	0	1	2	785	0	-1	-1
10	0	1	3	1445	1	-1	-1
10	0	1	4	2168	1	-1	-1
10	0	1	5	505	0	-1	-1
10	0	2	0	1316	0	-1	-1
10	0	2	1	1049	0	-1	-1
10	0	2	3	1100	0	-1	-1
10	0	2	4	906	1	-1	-1
10	0	2	5	874	0	-1	-1
10	0	3	0	375	0	-1	-1
10	0	3	1	3000	-1	-1	-1
10	0	3	2	1145	1	-1	-1
10	0	3	4	860	1	-1	-1
10	0	3	5	425	0	-1	-1
10	0	4	0	895	0	-1	-1
10	0	4	1	1745	0	-1	-1
10	0	4	2	992	0	-1	-1
10	0	4	3	525	1	-1	-1
10	0	4	5	748	0	-1	-1
10	0	5	0	988	1	-1	-1
10	0	5	1	605	1	-1	-1
10	0	5	2	807	1	-1	-1
10	0	5	3	575	1	-1	-1
10	0	5	4	826	1	-1	-1
11	0	0	1	1030	1	-1	-1
11	0	0	2	1918	1	-1	-1
11	0	0	3	580	1	-1	-1
11	0	0	4	1351	1	-1	-1
11	0	0	5	999	0	-1	-1
11	0	1	0	595	0	-1	-1
11	0	1	2	1715	0	-1	-1
11	0	1	3	1445	1	-1	-1
11	0	1	4	1620	1	-1	-1
11	0	1	5	615	0	-1	-1
11	0	2	0	1316	0	-1	-1
11	0	2	1	990	0	-1	-1
11	0	2	3	910	0	-1	-1
11	0	2	4	906	1	-1	-1
11	0	2	5	965	0	-1	-1
11	0	3	0	445	0	-1	-1
11	0	3	1	3000	-1	-1	-1
11	0	3	2	1215	1	-1	-1
11	0	3	4	860	1	-1	-1
11	0	3	5	455	0	-1	-1
11	0	4	0	895	0	-1	-1
11	0	4	1	1745	0	-1	-1
11	0	4	2	1007	0	-1	-1
11	0	4	3	525	1	-1	-1
11	0	4	5	772	0	-1	-1
11	0	5	0	827	1	-1	-1
11	0	5	1	665	1	-1	-1
11	0	5	2	898	1	-1	-1
11	0	5	3	440	1	-1	-1
11	0	5	4	850	1	-1	-1
12	0	0	1	930	1	-1	-1
12	0	0	2	1925	1	-1	-1
12	0	0	3	410	1	-1	-1
12	0	0	4	1691	1	-1	-1
12	0	0	5	726	0	-1	-1
12	0	1	0	805	0	-1	-1
12	0	1	2	865	0	-1	-1
12	0	1	3	1445	1	-1	-1
12	0	1	4	2168	1	-1	-1
12	0	1	5	565	0	-1	-1
12	0	2	0	1328	0	-1	-1
12	0	2	1	2009	0	-1	-1
12	0	2	3	1185	0	-1	-1
12	0	2	4	906	1	-1	-1
12	0	2	5	1079	0	-1	-1
12	0	3	0	405	0	-1	-1
12	0	3	1	3000	-1	-1	-1
12	0	3	2	1139	1	-1	-1
12	0	3	4	860	1	-1	-1
12	0	3	5	445	0	-1	-1
12	0	4	0	895	0	-1	-1
12	0	4	1	1745	0	-1	-1
12	0	4	2	1002	0	-1	-1
12	0	4	3	525	1	-1	-1
12	0	4	5	795	0	-1	-1
12	0	5	0	823	1	-1	-1
12	0	5	1	575	1	-1	-1
12	0	5	2	795	1	-1	-1
12	0	5	3	440	1	-1	-1
12	0	5	4	810	1	-1	-1
13	0	0	1	925	1	-1	-1
13	0	0	2	1915	1	-1	-1
13	0	0	3	385	1	-1	-1
13	0	0	4	1726	1	-1	-1
13	0	0	5	1140	0	-1	-1
13	0	1	0	610	0	-1	-1
13	0	1	2	840	0	-1	-1
13	0	1	3	1445	1	-1	-1
13	0	1	4	2168	1	-1	-1
13	0	1	5	485	0	-1	-1
13	0	2	0	1328	0	-1	-1
13	0	2	1	2419	0	-1	-1
13	0	2	3	1086	0	-1	-1
